C-DEMIND_ZEIT-0;C-DEMIND_NUTS3-0;F-DEMIND_CBR
DEMIND_ZEIT-2002;GRNU-AT111;7,260
DEMIND_ZEIT-2002;GRNU-AT112;8,147
DEMIND_ZEIT-2002;GRNU-AT113;7,541
DEMIND_ZEIT-2002;GRNU-AT121;9,985
DEMIND_ZEIT-2002;GRNU-AT122;9,883
DEMIND_ZEIT-2002;GRNU-AT123;9,185
DEMIND_ZEIT-2002;GRNU-AT124;9,193
DEMIND_ZEIT-2002;GRNU-AT125;8,043
DEMIND_ZEIT-2002;GRNU-AT126;8,534
DEMIND_ZEIT-2002;GRNU-AT127;9,057
DEMIND_ZEIT-2002;GRNU-AT130;10,379
DEMIND_ZEIT-2002;GRNU-AT211;8,209
DEMIND_ZEIT-2002;GRNU-AT212;9,186
DEMIND_ZEIT-2002;GRNU-AT213;8,925
DEMIND_ZEIT-2002;GRNU-AT221;9,407
DEMIND_ZEIT-2002;GRNU-AT222;8,600
DEMIND_ZEIT-2002;GRNU-AT223;7,055
DEMIND_ZEIT-2002;GRNU-AT224;9,092
DEMIND_ZEIT-2002;GRNU-AT225;8,915
DEMIND_ZEIT-2002;GRNU-AT226;8,810
DEMIND_ZEIT-2002;GRNU-AT311;10,118
DEMIND_ZEIT-2002;GRNU-AT312;9,935
DEMIND_ZEIT-2002;GRNU-AT313;10,465
DEMIND_ZEIT-2002;GRNU-AT314;9,785
DEMIND_ZEIT-2002;GRNU-AT315;10,068
DEMIND_ZEIT-2002;GRNU-AT321;9,857
DEMIND_ZEIT-2002;GRNU-AT322;10,616
DEMIND_ZEIT-2002;GRNU-AT323;10,515
DEMIND_ZEIT-2002;GRNU-AT331;9,253
DEMIND_ZEIT-2002;GRNU-AT332;9,780
DEMIND_ZEIT-2002;GRNU-AT333;9,652
DEMIND_ZEIT-2002;GRNU-AT334;11,422
DEMIND_ZEIT-2002;GRNU-AT335;10,719
DEMIND_ZEIT-2002;GRNU-AT341;10,574
DEMIND_ZEIT-2002;GRNU-AT342;11,609
DEMIND_ZEIT-2002;GRNU-AT11;7,812
DEMIND_ZEIT-2002;GRNU-AT12;9,187
DEMIND_ZEIT-2002;GRNU-AT13;10,379
DEMIND_ZEIT-2002;GRNU-AT21;8,641
DEMIND_ZEIT-2002;GRNU-AT22;8,802
DEMIND_ZEIT-2002;GRNU-AT31;10,054
DEMIND_ZEIT-2002;GRNU-AT32;10,519
DEMIND_ZEIT-2002;GRNU-AT33;10,299
DEMIND_ZEIT-2002;GRNU-AT34;11,354
DEMIND_ZEIT-2002;GRNU-AT1;9,629
DEMIND_ZEIT-2002;GRNU-AT2;8,751
DEMIND_ZEIT-2002;GRNU-AT3;10,350
DEMIND_ZEIT-2002;GRNU-AT0;9,700
DEMIND_ZEIT-2003;GRNU-AT111;6,693
DEMIND_ZEIT-2003;GRNU-AT112;8,255
DEMIND_ZEIT-2003;GRNU-AT113;7,673
DEMIND_ZEIT-2003;GRNU-AT121;10,026
DEMIND_ZEIT-2003;GRNU-AT122;9,310
DEMIND_ZEIT-2003;GRNU-AT123;9,063
DEMIND_ZEIT-2003;GRNU-AT124;8,349
DEMIND_ZEIT-2003;GRNU-AT125;7,931
DEMIND_ZEIT-2003;GRNU-AT126;8,220
DEMIND_ZEIT-2003;GRNU-AT127;8,974
DEMIND_ZEIT-2003;GRNU-AT130;10,298
DEMIND_ZEIT-2003;GRNU-AT211;8,167
DEMIND_ZEIT-2003;GRNU-AT212;8,960
DEMIND_ZEIT-2003;GRNU-AT213;9,076
DEMIND_ZEIT-2003;GRNU-AT221;8,985
DEMIND_ZEIT-2003;GRNU-AT222;9,044
DEMIND_ZEIT-2003;GRNU-AT223;7,493
DEMIND_ZEIT-2003;GRNU-AT224;9,143
DEMIND_ZEIT-2003;GRNU-AT225;8,806
DEMIND_ZEIT-2003;GRNU-AT226;8,189
DEMIND_ZEIT-2003;GRNU-AT311;9,484
DEMIND_ZEIT-2003;GRNU-AT312;9,760
DEMIND_ZEIT-2003;GRNU-AT313;9,856
DEMIND_ZEIT-2003;GRNU-AT314;10,028
DEMIND_ZEIT-2003;GRNU-AT315;9,833
DEMIND_ZEIT-2003;GRNU-AT321;10,372
DEMIND_ZEIT-2003;GRNU-AT322;10,253
DEMIND_ZEIT-2003;GRNU-AT323;9,838
DEMIND_ZEIT-2003;GRNU-AT331;8,513
DEMIND_ZEIT-2003;GRNU-AT332;9,738
DEMIND_ZEIT-2003;GRNU-AT333;10,346
DEMIND_ZEIT-2003;GRNU-AT334;10,579
DEMIND_ZEIT-2003;GRNU-AT335;10,351
DEMIND_ZEIT-2003;GRNU-AT341;9,998
DEMIND_ZEIT-2003;GRNU-AT342;10,835
DEMIND_ZEIT-2003;GRNU-AT11;7,838
DEMIND_ZEIT-2003;GRNU-AT12;8,888
DEMIND_ZEIT-2003;GRNU-AT13;10,298
DEMIND_ZEIT-2003;GRNU-AT21;8,610
DEMIND_ZEIT-2003;GRNU-AT22;8,707
DEMIND_ZEIT-2003;GRNU-AT31;9,761
DEMIND_ZEIT-2003;GRNU-AT32;9,990
DEMIND_ZEIT-2003;GRNU-AT33;10,054
DEMIND_ZEIT-2003;GRNU-AT34;10,629
DEMIND_ZEIT-2003;GRNU-AT1;9,461
DEMIND_ZEIT-2003;GRNU-AT2;8,676
DEMIND_ZEIT-2003;GRNU-AT3;9,974
DEMIND_ZEIT-2003;GRNU-AT0;9,478
DEMIND_ZEIT-2004;GRNU-AT111;7,744
DEMIND_ZEIT-2004;GRNU-AT112;8,290
DEMIND_ZEIT-2004;GRNU-AT113;7,580
DEMIND_ZEIT-2004;GRNU-AT121;10,599
DEMIND_ZEIT-2004;GRNU-AT122;9,378
DEMIND_ZEIT-2004;GRNU-AT123;9,541
DEMIND_ZEIT-2004;GRNU-AT124;8,819
DEMIND_ZEIT-2004;GRNU-AT125;8,175
DEMIND_ZEIT-2004;GRNU-AT126;8,331
