code;name;FK;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
GRNU-AT111;Mittelburgenland <AT111>;GRNU-AT11;;;;;;;
GRNU-AT112;Nordburgenland <AT112>;GRNU-AT11;;;;;;;
GRNU-AT113;Südburgenland <AT113>;GRNU-AT11;;;;;;;
GRNU-AT121;Mostviertel-Eisenwurzen <AT121>;GRNU-AT12;;;;;;;
GRNU-AT122;Niederösterreich-Süd <AT122>;GRNU-AT12;;;;;;;
GRNU-AT123;Sankt Pölten <AT123>;GRNU-AT12;;;;;;;
GRNU-AT124;Waldviertel <AT124>;GRNU-AT12;;;;;;;
GRNU-AT125;Weinviertel <AT125>;GRNU-AT12;;;;;;;
GRNU-AT126;Wiener Umland-Nordteil <AT126>;GRNU-AT12;;;;;;;
GRNU-AT127;Wiener Umland-Südteil <AT127>;GRNU-AT12;;;;;;;
GRNU-AT130;Wien <AT130>;GRNU-AT13;;;;;;;
GRNU-AT211;Klagenfurt-Villach <AT211>;GRNU-AT21;;;;;;;
GRNU-AT212;Oberkärnten <AT212>;GRNU-AT21;;;;;;;
GRNU-AT213;Unterkärnten <AT213>;GRNU-AT21;;;;;;;
GRNU-AT221;Graz <AT221>;GRNU-AT22;;;;;;;
GRNU-AT222;Liezen <AT222>;GRNU-AT22;;;;;;;
GRNU-AT223;Östliche Obersteiermark <AT223>;GRNU-AT22;;;;;;;
GRNU-AT224;Oststeiermark <AT224>;GRNU-AT22;;;;;;;
GRNU-AT225;West- und Südsteiermark <AT225>;GRNU-AT22;;;;;;;
GRNU-AT226;Westliche Obersteiermark <AT226>;GRNU-AT22;;;;;;;
GRNU-AT311;Innviertel <AT311>;GRNU-AT31;;;;;;;
GRNU-AT312;Linz-Wels <AT312>;GRNU-AT31;;;;;;;
GRNU-AT313;Mühlviertel <AT313>;GRNU-AT31;;;;;;;
GRNU-AT314;Steyr-Kirchdorf <AT314>;GRNU-AT31;;;;;;;
GRNU-AT315;Traunviertel <AT315>;GRNU-AT31;;;;;;;
GRNU-AT321;Lungau <AT321>;GRNU-AT32;;;;;;;
GRNU-AT322;Pinzgau-Pongau <AT322>;GRNU-AT32;;;;;;;
GRNU-AT323;Salzburg und Umgebung <AT323>;GRNU-AT32;;;;;;;
GRNU-AT331;Außerfern <AT331>;GRNU-AT33;;;;;;;
GRNU-AT332;Innsbruck <AT332>;GRNU-AT33;;;;;;;
GRNU-AT333;Osttirol <AT333>;GRNU-AT33;;;;;;;
GRNU-AT334;Tiroler Oberland <AT334>;GRNU-AT33;;;;;;;
GRNU-AT335;Tiroler Unterland <AT335>;GRNU-AT33;;;;;;;
GRNU-AT341;Bludenz-Bregenzer Wald <AT341>;GRNU-AT34;;;;;;;
GRNU-AT342;Rheintal-Bodenseegebiet <AT342>;GRNU-AT34;;;;;;;
GRNU-AT11;AT11 - Burgenland;GRNU-AT1;Burgenland <AT11>;;;;;;
GRNU-AT12;AT12 - Niederösterreich;GRNU-AT1;Lower Austria <AT12>;;;;;;
GRNU-AT13;AT13 - Wien;GRNU-AT1;Vienna <AT13>;;;;;;
GRNU-AT21;AT21 - Kärnten;GRNU-AT2;Carinthia <AT21>;;;;;;
GRNU-AT22;AT22 - Steiermark;GRNU-AT2;Styria <AT22>;;;;;;
GRNU-AT31;AT31 - Oberösterreich;GRNU-AT3;Upper Austria <AT31>;;;;;;
GRNU-AT32;AT32 - Salzburg;GRNU-AT3;Salzburg <AT32>;;;;;;
GRNU-AT33;AT33 - Tirol;GRNU-AT3;Tyrol <AT33>;;;;;;
GRNU-AT34;AT34 - Vorarlberg;GRNU-AT3;Vorarlberg <AT34>;;;;;;
GRNU-AT1;AT1 - Ostösterreich;GRNU-AT0;Eastern Austria <AT1>;;;;;;
GRNU-AT2;AT2 - Südösterreich;GRNU-AT0;Southern Austria <AT2>;;;;;;
GRNU-AT3;AT3 - Westösterreich;GRNU-AT0;Western Austria <AT3>;;;;;;
GRNU-AT0;AT - Österreich;;Austria;;;;;;
