code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
DEMIND_ZEIT-2002;2002;;2002;;;;;;
DEMIND_ZEIT-2003;2003;;2003;;;;;;
DEMIND_ZEIT-2004;2004;;2004;;;;;;
DEMIND_ZEIT-2005;2005;;2005;;;;;;
DEMIND_ZEIT-2006;2006;;2006;;;;;;
DEMIND_ZEIT-2007;2007;;2007;;;;;;
DEMIND_ZEIT-2008;2008;;2008;;;;;;
DEMIND_ZEIT-2009;2009;;2009;;;;;;
DEMIND_ZEIT-2010;2010;;2010;;;;;;
DEMIND_ZEIT-2011;2011;;2011;;;;;;
DEMIND_ZEIT-2012;2012;;2012;;;;;;
DEMIND_ZEIT-2013;2013;;2013;;;;;;
DEMIND_ZEIT-2014;2014;;2014;;;;;;
DEMIND_ZEIT-2015;2015;;2015;;;;;;
DEMIND_ZEIT-2016;2016;;2016;;;;;;
DEMIND_ZEIT-2017;2017;;2017;;;;;;
DEMIND_ZEIT-2018;2018;;2018;;;;;;
DEMIND_ZEIT-2019;2019;;2019;;;;;;
DEMIND_ZEIT-2020;2020;;2020;;;;;;
DEMIND_ZEIT-2021;2021;;2021;;;;;;
DEMIND_ZEIT-2022;2022;;2022;;;;;;
DEMIND_ZEIT-2023;2023;;2023;;;;;;
DEMIND_ZEIT-2024;2024;;2024;;;;;;
DEMIND_ZEIT-2025;2025;;2025;;;;;;
